data_hora,IPCA
2000.05,"0,09"
2000.06,"0,08"
2000.07,"0,78"
2000.08,"1,99"
2000.09,"0,45"
2000.10,"0,18"
2000.11,"0,17"
2000.12,"0,60"
2001.01,"0,63"
2001.02,"0,50"
2001.03,"0,36"
2001.04,"0,50"
2001.05,"0,49"
2001.06,"0,38"
2001.07,"0,94"
2001.08,"1,18"
2001.09,"0,38"
2001.10,"0,37"
2001.11,"0,99"
2001.12,"0,55"
2002.01,"0,62"
2002.02,"0,44"
2002.03,"0,40"
2002.04,"0,78"
2002.05,"0,42"
2002.06,"0,33"
2002.07,"0,77"
2002.08,"1,00"
2002.09,"0,62"
2002.10,"0,90"
2002.11,"2,08"
2002.12,"3,05"
2003.01,"1,98"
2003.02,"2,19"
2003.03,"1,14"
2003.04,"1,14"
2003.05,"0,85"
2003.06,"0,22"
2003.07,"-0,18"
2003.08,"0,27"
2003.09,"0,57"
2003.10,"0,66"
2003.11,"0,17"
2003.12,"0,46"
2004.01,"0,68"
2004.02,"0,90"
2004.03,"0,40"
2004.04,"0,21"
2004.05,"0,54"
2004.06,"0,56"
2004.07,"0,93"
2004.08,"0,79"
2004.09,"0,49"
2004.10,"0,32"
2004.11,"0,63"
2004.12,"0,84"
2005.01,"0,68"
2005.02,"0,74"
2005.03,"0,35"
2005.04,"0,74"
2005.05,"0,83"
2005.06,"0,12"
2005.07,"0,11"
2005.08,"0,28"
2005.09,"0,16"
2005.10,"0,56"
2005.11,"0,78"
2005.12,"0,38"
2006.01,"0,51"
2006.02,"0,52"
2006.03,"0,37"
2006.04,"0,17"
2006.05,"0,27"
2006.06,"-0,15"
2006.07,"-0,02"
2006.08,"0,19"
2006.09,"0,05"
2006.10,"0,29"
2006.11,"0,37"
2006.12,"0,35"
2007.01,"0,52"
2007.02,"0,46"
2007.03,"0,41"
2007.04,"0,22"
2007.05,"0,26"
2007.06,"0,29"
2007.07,"0,24"
2007.08,"0,42"
2007.09,"0,29"
2007.10,"0,24"
2007.11,"0,23"
2007.12,"0,70"
2008.01,"0,70"
2008.02,"0,64"
2008.03,"0,23"
2008.04,"0,59"
2008.05,"0,56"
2008.06,"0,90"
2008.07,"0,63"
2008.08,"0,35"
2008.09,"0,26"
2008.10,"0,30"
2008.11,"0,49"
2008.12,"0,29"
2009.01,"0,40"
2009.02,"0,63"
2009.03,"0,11"
2009.04,"0,36"
2009.05,"0,59"
2009.06,"0,38"
2009.07,"0,22"
2009.08,"0,23"
2009.09,"0,19"
2009.10,"0,18"
2009.11,"0,44"
2009.12,"0,38"
2010.01,"0,52"
2010.02,"0,94"
2010.03,"0,55"
2010.04,"0,48"
2010.05,"0,63"
2010.06,"0,19"
2010.07,"-0,09"
2010.08,"-0,05"
2010.09,"0,31"
2010.10,"0,62"
2010.11,"0,86"
2010.12,"0,69"
2011.01,"0,76"
2011.02,"0,97"
2011.03,"0,60"
2011.04,"0,77"
2011.05,"0,70"
2011.06,"0,23"
2011.07,"0,10"
2011.08,"0,27"
2011.09,"0,53"
2011.10,"0,42"
2011.11,"0,46"
2011.12,"0,56"
2012.01,"0,65"
2012.02,"0,53"
2012.03,"0,25"
2012.04,"0,43"
2012.05,"0,51"
2012.06,"0,18"
2012.07,"0,33"
2012.08,"0,39"
2012.09,"0,48"
2012.10,"0,65"
2012.11,"0,54"
2012.12,"0,69"
2013.01,"0,88"
2013.02,"0,68"
2013.03,"0,49"
2013.04,"0,51"
2013.05,"0,46"
2013.06,"0,38"
2013.07,"0,07"
2013.08,"0,16"
2013.09,"0,27"
2013.10,"0,48"
2013.11,"0,57"
2013.12,"0,75"
2014.01,"0,67"
2014.02,"0,70"
2014.03,"0,73"
2014.04,"0,78"
2014.05,"0,58"
2014.06,"0,47"
2014.07,"0,17"
2014.08,"0,14"
2014.09,"0,39"
2014.10,"0,48"
2014.11,"0,38"
2014.12,"0,79"
2015.01,"0,89"
2015.02,"1,33"
2015.03,"1,24"
2015.04,"1,07"
2015.05,"0,60"
2015.06,"0,99"
2015.07,"0,59"
2015.08,"0,43"
2015.09,"0,39"
2015.10,"0,66"
2015.11,"0,85"
2015.12,"1,18"
2016.01,"0,92"
2016.02,"1,42"
2016.03,"0,43"
2016.04,"0,51"
2016.05,"0,86"
2016.06,"0,40"
2016.07,"0,54"
2016.08,"0,45"
2016.09,"0,23"
2016.10,"0,19"
2016.11,"0,26"
2016.12,"0,19"
2017.01,"0,31"
2017.02,"0,54"
2017.03,"0,15"
2017.04,"0,21"
2017.05,"0,24"
2017.06,"0,16"
2017.07,"-0,18"
2017.08,"0,35"
2017.09,"0,11"
2017.10,"0,34"
2017.11,"0,32"
2017.12,"0,35"
2018.01,"0,39"
2018.02,"0,38"
2018.03,"0,10"
2018.04,"0,21"
2018.05,"0,14"
2018.06,"1,11"
2018.07,"0,64"
