,data,precipitacao,pressao_atmosferica,pressao_max,pressao_min,radiacao,temperatura_do_ar,temperatura_orvalho,temperatura_max,temperatura_min,temperatura_orvalho_max,temperatura_orvalho_min,umidade_max,umidade_min,umidade_relativa,direcao_vento,rajada_max,velocidade_media_vento
0,2015-01-01,,,,,,,,,,,,,,,,,
1,2015-01-02,,,,,,,,,,,,,,,,,
2,2015-01-03,,,,,,,,,,,,,,,,,
3,2015-01-04,,,,,,,,,,,,,,,,,
4,2015-01-05,,,,,,,,,,,,,,,,,
5,2015-01-06,,,,,,,,,,,,,,,,,
6,2015-01-07,,,,,,,,,,,,,,,,,
7,2015-01-08,,,,,,,,,,,,,,,,,
8,2015-01-09,,,,,,,,,,,,,,,,,
9,2015-01-10,,,,,,,,,,,,,,,,,
10,2015-01-11,0.1,1006.3916666666668,1006.7916666666666,1006.1,1753.6333333333334,29.629166666666663,21.90833333333333,30.42083333333333,28.804166666666664,22.479166666666668,21.175,69.20833333333333,61.583333333333336,65.70833333333333,274.6666666666667,7.9375,3.295833333333333
11,2015-01-12,0.10833333333333331,2012.2916666666667,2013.0083333333334,2011.6916666666668,3195.706666666667,59.83749999999999,44.92916666666666,61.6125,57.9875,46.454166666666666,43.4125,141.54166666666666,124.29166666666667,132.83333333333331,552.0,13.9,5.683333333333334
12,2015-01-13,0.10833333333333331,3021.9583333333335,3022.9541666666664,3020.9041666666667,4585.763809523809,87.63333333333333,69.08333333333333,90.10833333333332,85.34166666666667,71.16666666666667,67.09166666666667,225.625,201.75,214.29166666666666,755.7916666666666,20.704166666666666,8.983333333333334
13,2015-01-14,0.11666666666666661,4032.9375,4034.2541666666666,4031.6,5812.620952380952,114.33749999999999,92.87083333333334,117.48333333333332,111.41666666666666,95.41666666666667,90.34583333333333,313.75,283.875,299.79166666666663,916.1666666666666,25.02916666666667,10.620833333333334
14,2015-01-15,0.11666666666666661,5045.158333333333,5046.691666666667,5043.454166666666,7003.06380952381,139.83333333333331,116.15416666666667,143.52916666666667,136.35,119.23333333333333,113.05,405.375,369.8333333333333,388.66666666666663,1104.0833333333333,28.858333333333334,11.975
15,2015-01-16,0.11666666666666661,6058.0125,6059.8375,6056.075,8548.870952380952,165.96666666666667,139.12916666666666,170.05416666666665,161.98333333333335,142.64166666666665,135.61666666666665,492.5833333333333,452.54166666666663,473.2083333333333,1233.5833333333333,32.85,13.7875
