product,ceasa,price,date
ALFACE,CEAGESP - SOROCABA,7.0,2015-01-01
ALFACE,CEASA_DF - BRASILIA,4.0,2015-01-01
ALFACE,CEAGESP - MARILIA,15.0,2015-01-02
ALFACE,CEASA_CE - FORTALEZA,18.0,2015-01-02
ALFACE,CEASA_DF - BRASILIA,14.64,2015-01-02
ALFACE,CEASA_PE - RECIFE,8.4,2015-01-02
ALFACE,CEASA_PR - CASCAVEL,12.0,2015-01-02
ALFACE,CEASA_RN - NATAL,9.6,2015-01-02
ALFACE,CEASA_RS - PORTO ALEGRE,7.0,2015-01-02
ALFACE,CEASA_SC - FLORIANOPOLIS,7.2,2015-01-02
ALFACE,CEASAMINAS - BELO HORIZONTE,13.0,2015-01-02
ALFACE,CEASA_DF - BRASILIA,14.64,2015-01-03
ALFACE,CEASAMINAS - UBERABA,20.0,2015-01-03
ALFACE,CEASA_DF - BRASILIA,14.64,2015-01-04
ALFACE,AMA_BA - JUAZEIRO,8.0,2015-01-05
ALFACE,CEAGESP - ARARAQUARA,14.04,2015-01-05
ALFACE,CEAGESP - BAURU,13.75,2015-01-05
ALFACE,CEAGESP - PIRACICABA,8.0,2015-01-05
ALFACE,CEAGESP - RIBEIRAO PRETO,9.6,2015-01-05
ALFACE,CEAGESP - S J DOS CAMPOS,7.14,2015-01-05
ALFACE,CEAGESP - SAO JOSE RIO PRETO,11.25,2015-01-05
ALFACE,CEAGESP - SAO PAULO,6.15,2015-01-05
ALFACE,CEAGESP - SOROCABA,7.0,2015-01-05
ALFACE,CEASA_CE - FORTALEZA,18.0,2015-01-05
ALFACE,CEASA_DF - BRASILIA,14.64,2015-01-05
ALFACE,CEASA_ES - VITORIA,5.0,2015-01-05
ALFACE,CEASA_PB - JOAO PESSOA,7.8,2015-01-05
ALFACE,CEASA_PE - RECIFE,4.8,2015-01-05
ALFACE,CEASA_PR - CASCAVEL,18.0,2015-01-05
ALFACE,CEASA_PR - CURITIBA,6.67,2015-01-05
ALFACE,CEASA_RJ - RIO DE JANEIRO,7.5,2015-01-05
ALFACE,CEASA_RN - NATAL,9.6,2015-01-05
ALFACE,CEASA_RS - PORTO ALEGRE,7.0,2015-01-05
ALFACE,CEASA_SP - CAMPINAS,10.35,2015-01-05
ALFACE,CEASAMINAS - BELO HORIZONTE,10.0,2015-01-05
ALFACE,CEASAMINAS - UBERABA,20.0,2015-01-05
ALFACE,AMA_BA - JUAZEIRO,8.0,2015-01-06
ALFACE,CEAGESP - MARILIA,15.0,2015-01-06
ALFACE,CEAGESP - RIBEIRAO PRETO,9.6,2015-01-06
ALFACE,CEAGESP - SAO PAULO,6.09,2015-01-06
ALFACE,CEASA_CE - FORTALEZA,18.0,2015-01-06
ALFACE,CEASA_DF - BRASILIA,14.64,2015-01-06
ALFACE,CEASA_ES - VITORIA,5.17,2015-01-06
ALFACE,CEASA_GO - GOIANIA,8.0,2015-01-06
ALFACE,CEASA_MS - CAMPO GRANDE,20.0,2015-01-06
ALFACE,CEASA_PA - BELEM,12.0,2015-01-06
ALFACE,CEASA_PB - JOAO PESSOA,7.2,2015-01-06
ALFACE,CEASA_PE - RECIFE,4.8,2015-01-06
ALFACE,CEASA_PR - CASCAVEL,18.0,2015-01-06
